shortName,stationsTag,monitor_type,longName,StreetAddress,City,County,location.latitude,location.longitude,latitude,longitude,Elevation,airshed,StartDate,StopDate,seasonal,PM25FRM,PM25all,Speciation,Ozone,AirToxics,PM10,NO2,CO,SO2,rh,WS,WD,TEMP,SOLAR,Sensor,Met,Comments
PMH,-9999,,Madison HS,na,Portland,Multnomah,45.53972,-122.58083,45.53972,-122.58083,58,Portland,9/9/9999,planned,,,x,,,,,,,,,,,,,x,,SensOR
PRH,-9999,,Roosevelt HS,na,Portland,Multnomah,45.59,-122.7375,45.59,-122.7375,45,Portland,9/9/9999,planned,,,x,,,,,,,,,,,,,x,,SensOR
PSO,410330011,,Applegate Valley,14171 Williams,Provolt,Josephine,42.2897,-123.2325,42.2897,-123.2325,359,PSO,3/31/1998,present,,,x,,,,,,,,,,,,,,,Forest Health Network. In a partnership with the BLM 
RFD,-9999,,Douglas Co FD #2 - Station #2,"4200 Carnes Rd, Roseburg, OR 97471",Roseburg,Douglas,43.15278,-123.3825,43.15278,-123.3825,324,RFD,2/26/2020,present,,,x,,,,,,,,,,,,,x,,SensOR
RGV,410190002,,Roseburg Garden Valley,777 NW Garden,Roseburg,Douglas,43.2266,-123.3647,43.2266,-123.3647,136.2,RGV,8/23/2005,present,,,x,,,,,,,,,,,,,,,Forest Health Network. In a partnership with the BLM 
RHS,-9999,,Redmond High School,"675 SW Rimrock Way, Redmond, OR 97756 (Rimrock & Antler)",Redmond,Deschutes,44.275,-121.1905,44.275,-121.1905,913,RHS,10/8/2019,present,,,x,,,,,,,,,,,,,x,,SensOR
SCS,410290019,,"Shady Cove School, 37 SCHOOLHOUSE LANE",37 Schoolhouse Lane,Shady Cove,Jackson,42.6232,-122.8102,42.6232,-122.8102,438,SCS,3/19/2001,present,,,x,,,,,,,,,,,,,,,Forest Health Network. In a partnership with the BLM 
SFD,410432002,,Sweet Home Fire Department,1099 Long St,Sweet Home,Linn,44.3958,-122.7299,44.3958,-122.7299,164,SFD,4/3/2007,present,,,x,,,,,,,,,,,,,,,PM2.5 Network
SFS,410170004,,Sisters Forest Service,Cascade Hwy 20,Sisters,Deschutes,44.2921,-121.5555,44.2921,-121.5555,975,SFS,5/17/2011,present,,,x,,,,,,,,,,,,,,,Forest Health Network. In a partnership with the US Forest Service
SJM,-9999,,Judson Middle School,na,Salem,Marion,44.88917,-123.045,44.88917,-123.045,126,SJM,9/9/9999,future,,,x,,,,,,,,,,,,,x,,SensOR
SJW,410470007,,Silverton ,James & Western,Silverton,Marion,45.015,-122.7904,45.015,-122.7904,68,SJW,9/9/9999,present,x,,x,,,,,,,,,,,,,,,"Field Burning Monitoring Network. In a partnership with the Oregon Dept. of Ag. Operates sonally, July through September"
EWD,410390101,,Eugene Wilkes Drive (EWD),"898 Wilkes Drive, Eugene, OR",Eugene,Lane,44.1158,-123.1211,44.1158,-123.1211,114,Eugene,1/1/2009,present,,,x,,,,,,,,,x,x,,,,ws/wd,na
TDC,410650007,pm2.5 est,The Dalles Cherry Heights,1112 Cherry Heights,The Dalles,Wasco,45.6024,-121.2034,45.6024,-121.2034,86.26,TDC,8/6/1999,present,,,x,,x,,,,,,,,,,,,,"PM2.5 Network, Ozone is monitored seasonally, May through September"
TFD,-9999,,Tillamook ODF office,na,Tillamook,Tillamook,45.45722,-123.80278,45.45722,-123.80278,19,TFD,9/9/9999,present,,,x,,,,,,,,,,,,,x,,SensOR
TFM,-9999,,Fowler Middle School,na,Tigard,WA,45.43167,-122.78917,45.43167,-122.78917,55,TFM,9/9/9999,future,,,x,,,,,,,,,,,,,x,,SensOR
WAC,410392013,,Oakridge (OAK),47674 SCHOOL ST,Oakridge,Lane,43.74435,-122.48049,43.74435,-122.48049,344,WAC,1/1/1989,present,,x,x,,,,x,,,,,x,x,x,,,"WS/WD, Temp",
WFP,-9999,,French Prarie MS,na,Woodburn ,Marion,45.15056,-122.86139,45.15056,-122.86139,56,WFP,9/9/9999,future,,,x,,,,,,,,,,,,,x,,SensOR
WHS,-9999,,Willsonville HS,na,Wilsonville,Clackamas,45.30694,-122.74722,45.30694,-122.74722,59,WHS,9/9/9999,future,,,x,,,,,,,,,,,,,x,,SensOR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
