simple_qualifier,envista_qualifier,envista_qualifier_id,aqs_qualifier,,,
remove,O2 problem,23,none,,,
remove,MIR_f,24,none,,,
remove,sam_flo_out_l,25,none,,,
remove,SEDbox,26,none,,,
remove,purge,27,none,,,
remove,maintain,28,none,,,
remove,AboveR,29,none,,,
remove,CalibFail,30,none,,,
remove,Span10,31,none,,,
remove,BelowRange,32,none,,,
remove,spare,33,none,,,
remove,rateOC,34,none,,,
remove,BadCond,35,none,,,
remove,Err_Protocol,36,none,,,
remove,SPARE,37,none,,,
remove,Span2,38,none,,,
remove,Span3,39,none,,,
remove,Span4,40,none,,,
remove,Span5,41,none,,,
remove,Span6,42,none,,,
remove,Span7,43,none,,,
remove,Span8,44,none,,,
remove,Err_Formul,45,none,,,
remove,Filt_Damag,46,none,,,
remove,Filt_Leak,47,none,,,
remove,VoidByOp,48,none,,,
remove,MiscVoid,49,none,,,
remove,MalFunc,50,none,,,
remove,sam_flo_out_l,74,none,,,
remove,InsuffData,75,none,,,
remove,ZeroRef,76,none,,,
ok,OK_PwrFail,77,none,,,
ok,OK_RS232,78,none,,,
ok,OK_BadCon,79,none,,,
ok,OK_AboveR,80,none,,,
ok,OK_BelowR,81,none,,,
ok,OK_RateOC,82,none,,,
ok,OK_CalibFa,83,none,,,
remove,FileNotFou,84,none,,,
ok,OK_Calib,85,none,,,
ok,OK_<Sampl,86,none,,,
remove,Span9,87,none,,,
remove,Span10,88,none,,,
ok,OK_OffScan,89,none,,,
remove,Calm,90,none,,,
remove,OOC,91,none,,,
remove,Constant,92,none,,,
ok,PlantDown,93,none,,,
ok,ChksumErr,94,none,,,
ok,Opr,95,none,,,
remove,startup,96,none,,,
remove,Stop,97,none,,,
remove,Blow,98,none,,,
remove,Test,99,none,,,
remove,Gas,100,none,,,
remove,Diesel,101,none,,,
remove,Oil,102,none,,,
remove,Coal,103,none,,,
remove,Change,104,none,,,
remove,UnitMaint,105,none,,,
remove,Spare,106,none,,,
remove,RDF,107,none,,,
remove,Liquefied,108,none,,,
remove,Spare,109,none,,,
remove,Spare,110,none,,,
